Age,Department,JobRole,OverTime,BusinessTravel,JobSatisfaction,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,Attrition,event,time
41,Sales,Sales Executive,Yes,Travel_Rarely,4,1,6,0,Yes,1,6
49,Research & Development,Research Scientist,No,Travel_Frequently,2,3,10,1,No,0,10
37,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3,3,0,0,Yes,1,0
33,Research & Development,Research Scientist,Yes,Travel_Frequently,3,3,8,3,No,0,8
27,Research & Development,Laboratory Technician,No,Travel_Rarely,2,3,2,2,No,0,2
32,Research & Development,Laboratory Technician,No,Travel_Frequently,4,2,7,3,No,0,7
59,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1,2,1,0,No,0,1
30,Research & Development,Laboratory Technician,No,Travel_Rarely,3,3,1,0,No,0,1
38,Research & Development,Manufacturing Director,No,Travel_Frequently,3,3,9,1,No,0,9
36,Research & Development,Healthcare Representative,No,Travel_Rarely,3,2,7,7,No,0,7
35,Research & Development,Laboratory Technician,No,Travel_Rarely,2,3,5,0,No,0,5
29,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3,3,9,0,No,0,9
31,Research & Development,Research Scientist,No,Travel_Rarely,3,2,5,4,No,0,5
34,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,2,1,No,0,2
28,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3,3,4,0,Yes,1,4
29,Research & Development,Manufacturing Director,No,Travel_Rarely,1,3,10,8,No,0,10
32,Research & Development,Research Scientist,Yes,Travel_Rarely,2,2,6,0,No,0,6
22,Research & Development,Laboratory Technician,Yes,Non-Travel,4,2,1,0,No,0,1
53,Sales,Manager,No,Travel_Rarely,4,3,25,3,No,0,25
38,Research & Development,Research Scientist,Yes,Travel_Rarely,4,3,3,1,No,0,3
24,Research & Development,Manufacturing Director,No,Non-Travel,3,2,4,1,No,0,4
36,Sales,Sales Representative,No,Travel_Rarely,1,3,5,0,Yes,1,5
34,Research & Development,Research Director,No,Travel_Rarely,2,3,12,2,No,0,12
21,Research & Development,Research Scientist,No,Travel_Rarely,4,3,0,0,No,0,0
34,Research & Development,Research Scientist,No,Travel_Rarely,1,3,4,1,Yes,1,4
53,Research & Development,Manager,No,Travel_Rarely,3,2,14,4,No,0,14
